,username,text,query,hashtags,is_road_closed
1620,CRSTemporaryHousing,"#information for those affected by the #californiawildfires and how to be prepared as measures are taken to keep areas clear and safe. 
#gettyfire2019 #kincadefire #tickfire #sonomafirehttps: lat.ms/2jro5zy ",tickfire,"['Information', 'CaliforniaWildfires', 'GettyFire2019', 'KincadeFire', 'TickFire', 'SonomaFirehttps']",0
1621,Prepare for disasters NOW #DAT,#kincadefire #tickfire #gettyfire #wildfire #disasterrecovery #psps #roadclosures #stateofemergency #california #norcal #socal #informacion #fuego #inciendohttps: twitter.com/gavinnewsom/status/1188921311520673792 …,tickfire,"['kincadefire', 'tickfire', 'gettyfire', 'wildfire', 'DisasterRecovery', 'psps', 'roadclosures', 'StateofEmergency', 'california', 'norcal', 'socal', 'informacion', 'fuego', 'inciendohttps']",0
1622,JJ the Santa Barbarian,"#gettyfire #kincadefire #tickfire
#californiafireshttps: twitter.com/gavinnewsom/status/1188921311520673792 …",tickfire,"['GettyFire', 'KincadeFire', 'TickFire', 'CaliforniaFireshttps']",0
1623,Emily Elena Dugdale,"another day, another fire command center.  

this one for the #gettyfire is set up near @ucla. 

there’s firefighters here who came off the #tickfire and are now here fighting the #gettyfire. @laist @kpccpic.twitter.com/i0txzpnb3r",tickfire,"['GettyFire', 'TickFire', 'GettyFire']",0
1624,www.THEPIGEONEXPRESS.com,"california wildfire: strong winds accelerate the intensity of wildfires forcing thousands to flee, leaving millions without electricity for days. #californiafires #kincadefire #tickfire #oldwaterfire #sonomacounty #californiahttps: thepigeonexpress.com/tens-of-thousands-evacuate-millions-powerless-as-wildfires-continue-raging-in-california/ …",tickfire,"['Californiafires', 'KincadeFire', 'TickFire', 'OldWaterFire', 'SonomaCounty', 'Californiahttps']",0
1625,Grace Ocean,"imo #californians do not care about #wildfires causing #airpollution b/c if they did they would have done something about it long time ago...
#dosomething ....
#bebest
#gettyfire #tickfire #kincadefirehttps: twitter.com/laurelkellner/status/1188897163104808960 …",tickfire,"['Californians', 'wildfires', 'airpollution', 'DoSomething', 'BeBest', 'GettyFire', 'TickFire', 'KincadeFirehttps']",0
1626,Genasys Inc,"the best plan in any emergency is the proper emergency warning system.
able to broadcast voice instructions over large areas, send mobile alerts,  and geo-fence areas for evacuations. 
learn more: https: genasys.com/critical-communications/ …
#gettyfire #kinkaidfire #tickfire #californiawildfirespic.twitter.com/kwaxstods3",tickfire,"['GettyFire', 'kinkaidfire', 'TickFire', 'californiawildfirespic']",0
1627,LK advani,"california wildfire: strong winds accelerate the intensity of wildfires forcing thousands to flee, leaving millions without electricity for days. || #californiafires #kincadefire #tickfire #oldwaterfire #sonomacounty #california
https: thepigeonexpress.com/tens-of-thousands-evacuate-millions-powerless-as-wildfires-continue-raging-in-california/ …",tickfire,"['Californiafires', 'KincadeFire', 'TickFire', 'OldWaterFire', 'SonomaCounty', 'California']",0
1628,UNDERDOG,massive evacuations continue as #tickfire continues to rage and spread. #j311 @elizsancheztv,tickfire,"['TickFire', 'J311']",0
1629,Cause Communications,"we’re thinking about all of the families and communities impacted by the wildfires across california. for anyone wondering about how to offer support and assistance to others, we encourage you to check out @kkellyjanus’s op-ed. #gettyfire #tickfire #kincadefirehttps: twitter.com/kkellyjanus/status/1188884894467780611 …",tickfire,"['GettyFire', 'TickFire', 'KincadeFirehttps']",0
1630,JJS Fire Supply,a swimming pool + floating fire pump + barricade fire gel = greater chances your home survives a #wildfire after evac orders are lifted. http: www.jjsfiresupply.com  #kincadefire #tickfire #gettyfire #losangelesfire #brushfire #calabasas #oakfire #sonomafire #lawx #californiafirespic.twitter.com/iws3bd1l1k,tickfire,"['wildfire', 'KincadeFire', 'TickFire', 'GettyFire', 'LosAngelesFire', 'BrushFire', 'Calabasas', 'OakFire', 'SonomaFire', 'lawx', 'CaliforniaFirespic']",0
1631,"King County, WA","our sincere thanks to the firefighters from king county, our region and washington state working to respond to the #californiawildfires.

#gettyfire #kincadefire #tickfire https: twitter.com/waemd/status/1188845738815475713 …",tickfire,"['CaliforniaWildfires', 'GettyFire', 'KincadeFire', 'TickFire']",0
1632,USC Enviro Health,"reduce exposure to #wildfire smoke:
dont exercise outside, especially if you smell smoke or notice eye or throat irritation. #gettyfire #oldwaterfire #palisadesfire #tickfire #kincaidfire https: www.lung.org/our-initiatives/healthy-air/outdoor/emergencies-and-natural-disasters/wildfires.html … @lungassociationpic.twitter.com/gavlshjm7r",tickfire,"['wildfire', 'GettyFire', 'OldWaterFire', 'PalisadesFire', 'TickFire', 'KincaidFire']",0
1633,EMS Daily,"fema:pan_danie hi there, at the moment we are in close contact with local and state agencies to support requests for assistance. we have granted fire management assistance grants for the #gettyfire, #kincadefire, #tickfire.(via twitter https: twitter.com/fema/status/1188915201376161792 …)",tickfire,"['GettyFire', 'KincadeFire', 'TickFire']",0
1634,FEMA,"hi there, at the moment we are in close contact with local and state agencies to support requests for assistance. we have granted fire management assistance grants for the #gettyfire, #kincadefire, #tickfire.",tickfire,"['GettyFire', 'KincadeFire', 'TickFire']",0
1635,Jessica Stiles,"2/ the #kincaidfire, the #tickfire, and the other #californiawildfires that are raging will too. next come the all too familiar displacements, the #climaterefugees dispersing, not knowing where to go. nearby towns that already have housing shortages trying to absorb the influx",tickfire,"['KincaidFire', 'TickFire', 'californiawildfires', 'climaterefugees']",0
1636,Premier Workspaces,"our thoughts are with those impacted by the fires and power outages in california.  if you need a safe space to work, contact one of our centers.  our doors are open during business hours at no charge.
https: hubs.ly/h0lvp-v0 
#tickfire #californiafires #kincadefire #gettyfire",tickfire,"['TickFire', 'CaliforniaFires', 'KincadeFire', 'GettyFire']",0
1637,Here we go! #Bernie2020🌹,jfc #armageddon nah? so sorry to all my #californians dealing with these deadly #wildfires #kincadefire #tickfire #gettyfirehttps: apple.news/avrtj0offrfsatekr_vludg …,tickfire,"['armageddon', 'Californians', 'wildfires', 'KincadeFire', 'TickFire', 'GettyFirehttps']",0
1638,Sarah Floyd,"sending love to my beautiful home state #california. 
thank you, #firefighters, for your hard work and ongoing efforts. stay safe!! 
#kincadefire #gettyfire #tickfire",tickfire,"['California', 'firefighters', 'KincadeFire', 'GettyFire', 'TickFire']",0
1639,RedCrossMA,"rt redcross: the wildfires in california are still blazing, threatening thousands of homes and businesses. red crossers are on the ground providing shelter, food, water and emotional support. #gettyfire #tickfire #kincadefirepic.twitter.com/xzs6z20ypy",tickfire,"['GettyFire', 'TickFire', 'KincadeFirepic']",0
1640,EMS Daily,"redcross:the wildfires in california are still blazing, threatening thousands of homes and businesses. red crossers are on the ground providing shelter, food, water and emotional support. #gettyfire #tickfire #kincadefire https: ift.tt/2mu6jlb  twitter https: twitter.com/redcross/status/1188911059953995779 …)",tickfire,"['GettyFire', 'TickFire', 'KincadeFire']",0
1641,American Red Cross,"the wildfires in california are still blazing, threatening thousands of homes and businesses. red crossers are on the ground providing shelter, food, water and emotional support. #gettyfire #tickfire #kincadefirepic.twitter.com/melactxfip",tickfire,"['GettyFire', 'TickFire', 'KincadeFirepic']",0
1642,jirafita🔌🍄🔜 BUKU 3/20,"@lafd thank you for all your efforts during the #tickfire 

i wanna shake the hand of the super scooper pilot who dumped water in my backyard because if he was even 30 seconds later, my parents wouldnt have a home.

thank you thank you thank you!!!!! pic.twitter.com/jwgppai4r6",tickfire,['TickFire'],0
1643,www.THEPIGEONEXPRESS.com,"tens of thousands evacuate, millions powerless as wildfires continue raging in california || #californiafires #kincadefire #tickfire #oldwaterfire #sonomacounty #californiahttps: thepigeonexpress.com/tens-of-thousands-evacuate-millions-powerless-as-wildfires-continue-raging-in-california/ …",tickfire,"['Californiafires', 'KincadeFire', 'TickFire', 'OldWaterFire', 'SonomaCounty', 'Californiahttps']",0
1644,www.THEPIGEONEXPRESS.com,"california wildfire: strong winds accelerate the intensity of wildfires forcing thousands to flee, leaving millions without electricity for days #californiafires #kincadefire #tickfire #oldwaterfire #sonomacounty #california
https: thepigeonexpress.com/tens-of-thousands-evacuate-millions-powerless-as-wildfires-continue-raging-in-california/ …",tickfire,"['Californiafires', 'KincadeFire', 'TickFire', 'OldWaterFire', 'SonomaCounty', 'California']",0
1645,Doodles 🇺🇸,"since im on a ""opinion"" role today,
the #mulhollandfire was probably started by homeless, it got cold last night.

the #tickfire in santa clarita was not started by electric lines this has already been proven.

that is all.",tickfire,"['mulhollandfire', 'TickFire']",0
1646,"I'm not ""Human Scum"". Neither Are You!🌊"," #californiawildfires 
#gettyfire #kincadefire #tickfire https: twitter.com/cal_oes/status/1188907661871333376 …",tickfire,"['CaliforniaWildfires', 'GettyFire', 'KincadeFire', 'TickFire']",0
1647,Francisco Taveira,hundreds of thousands of californians have been forced to evacuate as massive wildfires fanned by winds continue to burn through the states arid landscape. https: www.buzzfeednews.com/article/gabrielsanchez/dramatic-pictures-new-wildfires-california-kincade-tick … #kincadefire #tickfire #gettyfire #californiafires,tickfire,"['KincadeFire', 'TickFire', 'GettyFire', 'CaliforniaFires']",0
1648,Itoshiki Nozomu,"sure, i blame the arsonists starting the fires. but, why didnt fire crews lay down foscheck days before the winds started? an once of prevention...
#tickfire
#gettyfire",tickfire,"['TickFire', 'GettyFire']",0
1649,ICTG,"looking for guidance as you navigate #californiawildfires and #poweroutages with children? here are some helpful tips with specific suggestions by age group:

#kincadefire #tickfire #psps",tickfire,"['CaliforniaWildfires', 'PowerOutages', 'KincadeFire', 'TickFire', 'PSPS']",0
1650,Lorna Paul,"time to come together cali... too many  everyone’s help is needed... #gettyfire #santaclaritafire #brushfire #tickfire #sepulvedafire 
donate here  #redcrosshttps: twitter.com/redcrossla/status/1188872987950235648 …",tickfire,"['GettyFire', 'santaclaritafire', 'BrushFire', 'TickFire', 'Sepulvedafire', 'RedCrosshttps']",0
1651,Ted Gaines,"praying for those impacted by wildfires, especially the #tickfire burning in the mountains near my lancaster district office. firefighters have it 78% contained but it’s still threatening thousands of homes. hoping santa ana winds don’t worsen the situation. stay safe everyone!",tickfire,['TickFire'],0
1652,Ellie laks,"amelia takes a minute to close her eyes, rest in the sun, and regain her energy from the evacuation. the sheep, goats, chickens, turkeys, llama, and emu are settling into their evacuation site. hopefully they’ll be home soon  #tickfire #animals #animalrescue #animalloverspic.twitter.com/siiznjetax",tickfire,"['tickfire', 'animals', 'animalrescue', 'animalloverspic']",0
1653,Kim Guimarin,#tickfire now 78% contained https: www.dailynews.com/2019/10/28/tick-fire-enters-fifth-day-as-crews-make-gains-in-containment-of-the-blaze/ … via @ladailynews,tickfire,['Tickfire'],0
1654,Francisco Taveira,"firefighters battled destructive wildfires in northern #california wine country and on the wealthy west side of #losangeles on monday, trying to beat back flames that forced tens of thousands to flee their homes.  https: www.nbcwashington.com/news/national-international/california-wildfires-la-bay-area-563992621.html … #kincadefire #tickfire #gettyfire",tickfire,"['California', 'LosAngeles', 'KincadeFire', 'TickFire', 'GettyFire']",0
1655,"Gerard Braud, CSP, Fellow IEC",for #crisiscomms tips on how to protect your reputation & revenue read this case study on #california #wildfires & #pg&e: https: ecs.page.link/6glzu  #businesscontinuity #disastermanagement #disasterrecovery  #pgeshutoff #kincaidfire #santarosa #sonoma #tickfire #calfire #gettyfirepic.twitter.com/gxsstzwjan,tickfire,"['crisiscomms', 'California', 'Wildfires', 'PG', 'businesscontinuity', 'disastermanagement', 'disasterrecovery', 'PGEshutoff', 'KincaidFire', 'SantaRosa', 'Sonoma', 'TickFire', 'CALFIRE', 'gettyfirepic']",0
1656,LK advani,"california wildfire: strong winds accelerate the intensity of wildfires forcing thousands to flee, leaving millions without electricity for days || #californiafires #kincadefire #tickfire #oldwaterfire #sonomacounty #california
https: thepigeonexpress.com/tens-of-thousands-evacuate-millions-powerless-as-wildfires-continue-raging-in-california/ …",tickfire,"['Californiafires', 'KincadeFire', 'TickFire', 'OldWaterFire', 'SonomaCounty', 'California']",0
1657,LK advani,"tens of thousands evacuate, millions powerless as wildfires continue raging in california*** || #californiafires #kincadefire #tickfire #oldwaterfire #sonomacounty #californiahttps: thepigeonexpress.com/tens-of-thousands-evacuate-millions-powerless-as-wildfires-continue-raging-in-california/ …",tickfire,"['Californiafires', 'KincadeFire', 'TickFire', 'OldWaterFire', 'SonomaCounty', 'Californiahttps']",0
1658,Sinking California,as winds are predicted to kick up again those in the #tickfire areas prepare for possible evacuation again. ,tickfire,['TickFire'],0
1659,HHSRegion9,"if you or a loved one has been impacted by the #wildfires & need someone to talk to, @distressline is available by phone, text, or web.

call: 1-800-985-5990
text: ""talkwithus"" to 66746
web: http: ow.ly/qdv150wvlem 
#cawx #kincadefire #gettyfire #tickfire #mentalhealth #wildfirepic.twitter.com/otqjhaqenp",tickfire,"['wildfires', 'CAwx', 'KincadeFire', 'GettyFire', 'TickFire', 'MentalHealth', 'wildfirepic']",0
1660,Madison Shirley,"thinking of those in ca that are facing all these fires. 15  up and down the state. @calfire and @lafd, youre doing a great job trying to keep people safe even in a seemingly impossible situation. #gettyfire #kincaidfire #saddleridgefire #tickfire #burrisfire #palisadesfirehttps: twitter.com/latimes/status/1188796291834245126 …",tickfire,"['GettyFire', 'KincaidFire', 'SaddleridgeFire', 'TickFire', 'BurrisFire', 'PalisadesFirehttps']",0
1661,Super Sugar,@lunettacaleb hi caleb. i’m trying to find the photographer who took photos of me while getting my dog out of shannon ct. was that you?  i initially asked that photos not be used but i’d like to see them. #tickfire https: twitter.com/supersugar/status/1188850999387049984 …,tickfire,['tickfire'],0
1662,Eric,@johnlegere you need to actually have service in many of these areas for it be useful.  socal fire area just north of tickfire claims to have had service for +4 years.. but has been no service.  id hate to be the firefighters relying on you when service there is att/vz only.,tickfire,[],0
1663,Give To Get,"after events like the #gettyfire, #kincadefire, or #tickfire, people may want to volunteer or donate food and other goods. instead, most organizations prefer cash donations because they can get the items that they need immediately. learn how to help: 
http: bit.ly/31ucq0m ",tickfire,"['GettyFire', 'KincadeFire', 'TickFire']",0
1664,Etta Devine,hey calionfuckingfirefornia. you can check current air quality on the iphone weather app by scrolling up. it doesnt always smell when particulates are at a dangerous level.  wear your #n95mask #californiafires #gettyfire #kinkaidfire #tickfire,tickfire,"['N95mask', 'CaliforniaFires', 'Gettyfire', 'kinkaidfire', 'TickFire']",0
1665,www.THEPIGEONEXPRESS.com,"tens of thousands evacuate, millions powerless as wildfires continue raging in california*** || #californiafires #kincadefire #tickfire #oldwaterfire #sonomacounty #california
https: thepigeonexpress.com/tens-of-thousands-evacuate-millions-powerless-as-wildfires-continue-raging-in-california/ …",tickfire,"['Californiafires', 'KincadeFire', 'TickFire', 'OldWaterFire', 'SonomaCounty', 'California']",0
1666,Kate Kostal,left a blacked-out napa hotel to avoid #kincaidfire and drove past #glencovefire while the road was open. to think i was worried about #tickfire affecting the (ultimately cancelled)#ragnar relay (and now there’s the #gettyfire ) #californiawildfireshttps: twitter.com/mulsirhc/status/1188511329637658624 …,tickfire,"['KincaidFire', 'GlencoveFire', 'TickFire', 'Ragnar', 'GettyFire', 'californiawildfireshttps']",0
1667,Shauna {She/Her} 🔺KūKia'iMauna🔺,"the home of my birth is on fire.

i love you, california. 
#gettyfire #kincadefire #tickfire #californiastrong
https: www.youtube.com/watch?v=4otstoycfxa …pic.twitter.com/mpcan9jyct",tickfire,"['GettyFire', 'KincadeFire', 'TickFire', 'CaliforniaStrong']",0
1668,Auror6,"oh, yeah... this seems sooo much more important than the inferno propelled by hurricane force winds in california. #gettyfire #kincadefire #tickfire",tickfire,"['GettyFire', 'kincadefire', 'TickFire']",0
1669,AJ Tenney,"lost out on two days of work due to the #tickfire - on top of that, lost power for over 24 hours, all food in the fridge spoiled. could definitely use some help

http: paypal.me/oggy10e ",tickfire,['TickFire'],0
1670,ReadyBrea,brea engine 322 has left the #tickfire and has now been deployed to the #kincadefire. we are incredibly grateful to all of the firefighters battling these horrible fires. stay safe!,tickfire,"['TickFire', 'KincadeFire']",0
1671,LK advani,"tens of thousands evacuate, millions powerless as wildfires continue raging in california*** #californiafires #kincadefire #tickfire #oldwaterfire #sonomacounty #california
https: thepigeonexpress.com/tens-of-thousands-evacuate-millions-powerless-as-wildfires-continue-raging-in-california/ …",tickfire,"['Californiafires', 'KincadeFire', 'TickFire', 'OldWaterFire', 'SonomaCounty', 'California']",0
1672,Lori Thompson,americorps members andrew bookbinder and sandra ghazal from the ca disaster team served alongside safe corps and @cafaamericorps at @redcrossla shelters in response to the #tickfire on saturday. https: twitter.com/cadisasterteam/status/1188854942125060097 …,tickfire,['TickFire'],0
1673,News247WorldPress,"#breaking: to add to the devastation of the #kincadefire and #tickfire, a third blaze dubbed the #gettyfire has threatened thousands of homes https: news247worldpressuk.com/2019/10/28/breaking-to-add-to-the-devastation-of-the-kincadefire-and-tickfire-a-third-blaze-dubbed-the-gettyfire-has-threatened-thousands-of-homes/ …pic.twitter.com/tuhwm3opcl",tickfire,"['Breaking', 'KincadeFire', 'TickFire', 'GettyFire']",0
1674,Ashley Thompson,this week has been exhausting. california has taken such a hit with all of the fires. thank you so much to all of the #firefighters for all of your hard work. #tickfire #gettyfire #kincaidefire #easyfire #soledadfire,tickfire,"['firefighters', 'TickFire', 'GettyFire', 'kincaidefire', 'EasyFire', 'SoledadFire']",0
1675,The Po,"@realdonaldtrump these #californiafires have been going on for over a week in #california , the state with largest pop. in our country. not a word or a tweet from the president! #simivalleyfire #tickfire #soledadfire #gettyfires #kincadefirehttps: twitter.com/nbcnightlynews/status/1189682140742504448 …",tickfire,"['CaliforniaFires', 'California', 'simivalleyFire', 'TickFire', 'SoledadFire', 'GettyFires', 'KincadeFirehttps']",0
1676,𝕎𝕒𝕣𝕣𝕚𝕠𝕣 𝔽𝕠𝕣 ℂ𝕙𝕣𝕚𝕤𝕥 ✞,"#breaking #news there is now a #breafire. not to forget the #kincadefire, #oakfire, #burrisfire and the #tickfire

pray for the mercy of the lord! that he guide and protect the emergency responders residents and animals. https: twitter.com/biblebeliever4/status/1189673709327519747 …",tickfire,"['Breaking', 'News', 'BreaFire', 'KincadeFire', 'oakfire', 'BurrisFire', 'TickFire']",0
1677,Scott Appel,please rt. #lafires #hillfire #easyfire #gettyfire #breafire #dexterfire #tickfire @lafd @scvsignal @scvemergencynow @latimes @ladncitydesk @abc7george @ktlanewsdesk @cbs2kcal9brk @notifyla @backstage @thr @variety @thewrap @deadline @foxla @frances_fisher @broadwayworldlahttps: twitter.com/theactorsfund/status/1189679613271662592 …,tickfire,"['LAFires', 'HillFire', 'EasyFire', 'GettyFire', 'BreaFire', 'DexterFire', 'TickFire']",0
1678,Matthew BOB Xia,"i think socal should be able to postpone halloween this year 
#easyfire #hillfire #waterfire #gettyfire #calabasasfire #oakfire #tickfire #mureaufirepic.twitter.com/kfkziphafn",tickfire,"['EasyFire', 'HillFire', 'WaterFire', 'GettyFire', 'calabasasfire', 'OakFire', 'TickFire', 'MureauFirepic']",0
1679,Jpeg the dog,"the wind’s blowing the smoke elsewhere today. so after days of stuck indoor, i got to take a walk. #tickfire #gettyfire #easyfire #lafire #wildfirepic.twitter.com/tubezmtovi",tickfire,"['TickFire', 'GettyFire', 'EasyFire', 'LAFire', 'wildfirepic']",0
1680,Steve Bowen,"the wildfire situation in california is far from over, but its still a perfect time to applaud the amazing work done by firefighters, first responders, emergency managers, and national weather service forecasters.

#kincadefire #gettyfire #easyfire #tickfire",tickfire,"['KincadeFire', 'GettyFire', 'EasyFire', 'TickFire']",0
1681,Alex Sanchez,"please share: federal and state disaster assistance - how workers can access services & ui benefits during the ca wildfires in sonoma, los angeles and riverside #tickfire #kindcadefire #hillfire #saddlerridgefire #gettyfire #easyfire
https: labor.ca.gov/disaster-services.htm …",tickfire,"['TickFire', 'KindcadeFire', 'HillFire', 'SaddlerRidgeFire', 'GettyFire', 'EasyFire']",0
1682,CA Dept of Insurance,"commissioner @icricardolara in #santaclarita at the local assistance center meeting with local leaders, allied agencies and residents affected by the #tickfire to address #insurance issues.  @countyoflapic.twitter.com/hisl3m647a",tickfire,"['SantaClarita', 'TickFire', 'insurance']",0
1683,LAC/VNC Scanner,"#tickfire update: flare up is reported to be outside the burn area, no structure threat at this time.",tickfire,['TickFire'],0
1684,LAC/VNC Scanner,#tickfire - new flare up reported off the 14 freeway near soledad canyon. 1 acre with a moderate ros.,tickfire,['TickFire'],0
1685,Bern Notice 🔥,"flare up on the #tickfire on the nb14 at soledad canyon, 1 acre medium fuels moderate ros. #breaking #santaclarita",tickfire,"['TickFire', 'Breaking', 'SantaClarita']",0
1686,Red Cross Los Angeles,"even as the @redcross responds to the #gettyfire & #easyfire, we have not forgotten people affected by the #tickfire. our casework team is onsite to help at the @lacity local assistance center in #santaclarita 20880 centre pointe pkwy. 

learn more http: www.lacounty.gov/recovery ",tickfire,"['GettyFire', 'EasyFire', 'TickFire', 'SantaClarita']",0
1687,Dawn Young-McDaniel ♿️,"thank you to those rescuing animals from the wildfires! knowing the animals are helpless & terrified literally makes me feel ill
#simivalley #tickfire #sonoma #kincadefirepets #kincaidfire
there’s a special place in heaven for those who rescue animals.
*don’t leave animals behind",tickfire,"['SimiValley', 'TickFire', 'Sonoma', 'KincadeFirePets', 'KincaidFire']",0
1688,𝒎𝒂𝒚𝒓𝒂 ♡,#tickfire,tickfire,['tickfire'],0
1689,California Labor Federation,"please share: federal disaster unemployment assistance - how workers can access services & ui benefits during the ca wildfires in sonoma, los angeles and riverside https: www.edd.ca.gov/about_edd/disaster_related_services.htm?link_id=29&can_id=061c8e2d489426646a0fa1bdbd510038&source=email-uberlyft-big-money-campaign-to-cheat-drivers-rip-oscar-owens-wildfire-resources&email_referrer=&email_subject=uberlyft-big-money-campaign-to-cheat-drivers-rip-oscar-owens-wildfire-resources … #tickfire #kindcadefire #hillfire #saddlerridgefire #gettyfire #easyfire",tickfire,"['TickFire', 'KindcadeFire', 'HillFire', 'SaddlerRidgeFire', 'GettyFire', 'EasyFire']",0
1690,Laura Bryna,"so grateful for our firefighters and the selfless sacrifices they make for our safety. my thoughts and prayers are with you, and everyone affected by the california wildfires. #gettyfire #tickfire #kincaidefire
: #lacountyfirefighterspic.twitter.com/avgmo2fmtn",tickfire,"['gettyfire', 'tickfire', 'kincaidefire', 'lacountyfirefighterspic']",0
1691,CAR CONSUMERS,"#wednesdaythoughts stay safe. beware of unethical dealers like @carmax and @autonation. they sell dangerous recalled cars, including vehicles prone to catching on fire. yikes!! #californiafires #californiawildfire #kindcadefire #kincade #tickfire pic.twitter.com/dbuc3vzscf",tickfire,"['WednesdayThoughts', 'CaliforniaFires', 'CaliforniaWildfire', 'kindcadefire', 'Kincade', 'TickFire']",0
1692,Gonzalo Alvarado,los incendios en #california no cesan #easygire #gettyfire #kincadefire #saddleridge #tickfire https: www.instagram.com/p/b4qf4sqh0ir/?igshid=l2wwzagj8ekl …,tickfire,"['california', 'Easygire', 'Gettyfire', 'Kincadefire', 'Saddleridge', 'Tickfire']",0
1693,Ashley Thompson,this week has been exhausting. california has taken such a hit with all of the fires. thank you so much to all of the #firefighters for all of your hard work. #tickfire #gettyfire #kincaidefire #easyfire #soledadfire,tickfire,"['firefighters', 'TickFire', 'GettyFire', 'kincaidefire', 'EasyFire', 'SoledadFire']",0
1694,The Po,"@realdonaldtrump these #californiafires have been going on for over a week in #california , the state with largest pop. in our country. not a word or a tweet from the president! #simivalleyfire #tickfire #soledadfire #gettyfires #kincadefirehttps: twitter.com/nbcnightlynews/status/1189682140742504448 …",tickfire,"['CaliforniaFires', 'California', 'simivalleyFire', 'TickFire', 'SoledadFire', 'GettyFires', 'KincadeFirehttps']",0
1695,𝕎𝕒𝕣𝕣𝕚𝕠𝕣 𝔽𝕠𝕣 ℂ𝕙𝕣𝕚𝕤𝕥 ✞,"#breaking #news there is now a #breafire. not to forget the #kincadefire, #oakfire, #burrisfire and the #tickfire

pray for the mercy of the lord! that he guide and protect the emergency responders residents and animals. https: twitter.com/biblebeliever4/status/1189673709327519747 …",tickfire,"['Breaking', 'News', 'BreaFire', 'KincadeFire', 'oakfire', 'BurrisFire', 'TickFire']",0
1696,Scott Appel,please rt. #lafires #hillfire #easyfire #gettyfire #breafire #dexterfire #tickfire @lafd @scvsignal @scvemergencynow @latimes @ladncitydesk @abc7george @ktlanewsdesk @cbs2kcal9brk @notifyla @backstage @thr @variety @thewrap @deadline @foxla @frances_fisher @broadwayworldlahttps: twitter.com/theactorsfund/status/1189679613271662592 …,tickfire,"['LAFires', 'HillFire', 'EasyFire', 'GettyFire', 'BreaFire', 'DexterFire', 'TickFire']",0
1697,Matthew BOB Xia,"i think socal should be able to postpone halloween this year 
#easyfire #hillfire #waterfire #gettyfire #calabasasfire #oakfire #tickfire #mureaufirepic.twitter.com/kfkziphafn",tickfire,"['EasyFire', 'HillFire', 'WaterFire', 'GettyFire', 'calabasasfire', 'OakFire', 'TickFire', 'MureauFirepic']",0
1698,Jpeg the dog,"the wind’s blowing the smoke elsewhere today. so after days of stuck indoor, i got to take a walk. #tickfire #gettyfire #easyfire #lafire #wildfirepic.twitter.com/tubezmtovi",tickfire,"['TickFire', 'GettyFire', 'EasyFire', 'LAFire', 'wildfirepic']",0
1699,Steve Bowen,"the wildfire situation in california is far from over, but its still a perfect time to applaud the amazing work done by firefighters, first responders, emergency managers, and national weather service forecasters.

#kincadefire #gettyfire #easyfire #tickfire",tickfire,"['KincadeFire', 'GettyFire', 'EasyFire', 'TickFire']",0
1700,Alex Sanchez,"please share: federal and state disaster assistance - how workers can access services & ui benefits during the ca wildfires in sonoma, los angeles and riverside #tickfire #kindcadefire #hillfire #saddlerridgefire #gettyfire #easyfire
https: labor.ca.gov/disaster-services.htm …",tickfire,"['TickFire', 'KindcadeFire', 'HillFire', 'SaddlerRidgeFire', 'GettyFire', 'EasyFire']",0
1701,CA Dept of Insurance,"commissioner @icricardolara in #santaclarita at the local assistance center meeting with local leaders, allied agencies and residents affected by the #tickfire to address #insurance issues.  @countyoflapic.twitter.com/hisl3m647a",tickfire,"['SantaClarita', 'TickFire', 'insurance']",0
1702,LAC/VNC Scanner,"#tickfire update: flare up is reported to be outside the burn area, no structure threat at this time.",tickfire,['TickFire'],0
1703,LAC/VNC Scanner,#tickfire - new flare up reported off the 14 freeway near soledad canyon. 1 acre with a moderate ros.,tickfire,['TickFire'],0
1704,Bern Notice 🔥,"flare up on the #tickfire on the nb14 at soledad canyon, 1 acre medium fuels moderate ros. #breaking #santaclarita",tickfire,"['TickFire', 'Breaking', 'SantaClarita']",0
1705,Red Cross Los Angeles,"even as the @redcross responds to the #gettyfire & #easyfire, we have not forgotten people affected by the #tickfire. our casework team is onsite to help at the @lacity local assistance center in #santaclarita 20880 centre pointe pkwy. 

learn more http: www.lacounty.gov/recovery ",tickfire,"['GettyFire', 'EasyFire', 'TickFire', 'SantaClarita']",0
1706,Dawn Young-McDaniel ♿️,"thank you to those rescuing animals from the wildfires! knowing the animals are helpless & terrified literally makes me feel ill
#simivalley #tickfire #sonoma #kincadefirepets #kincaidfire
there’s a special place in heaven for those who rescue animals.
*don’t leave animals behind",tickfire,"['SimiValley', 'TickFire', 'Sonoma', 'KincadeFirePets', 'KincaidFire']",0
1707,𝒎𝒂𝒚𝒓𝒂 ♡,#tickfire,tickfire,['tickfire'],0
1708,California Labor Federation,"please share: federal disaster unemployment assistance - how workers can access services & ui benefits during the ca wildfires in sonoma, los angeles and riverside https: www.edd.ca.gov/about_edd/disaster_related_services.htm?link_id=29&can_id=061c8e2d489426646a0fa1bdbd510038&source=email-uberlyft-big-money-campaign-to-cheat-drivers-rip-oscar-owens-wildfire-resources&email_referrer=&email_subject=uberlyft-big-money-campaign-to-cheat-drivers-rip-oscar-owens-wildfire-resources … #tickfire #kindcadefire #hillfire #saddlerridgefire #gettyfire #easyfire",tickfire,"['TickFire', 'KindcadeFire', 'HillFire', 'SaddlerRidgeFire', 'GettyFire', 'EasyFire']",0
